ID,Resistence,time_constant,streng_rectif,rebound_slope,nb_rebound_sp,sag,sag_ratio,rheobaseLP,burst,delay,latencyLP,meanISI,cv_ISI,adaptation1,adaptation2,peak_adaptation1,peak_adaptation2,peakLP,thresholdLP,half_width,height,fastTrough,slowTrough,nb_persistent,dur_persistence,firing_rate_2xRB,cvISIlast_2xRB,rheobase_3ms,latency,threshold,threshold2,peak,height_threshold_peak,height_peak_trough,peak_up_stroke,peak_down_stroke,peak_stroke_ratio,halfWidthTP,halfWidthPT,peakDown,trough,preview,link,Morphology
M03_SM_A1_C04,294.5556706,18.625,3.669067465,-0.001732675,0,3.669067465,1.042176798,150,17.075,0.68681632,6.9,10.04635417,0.157947011,-0.003657076,0.475,0.864912474,-0.001057308,20.75195359,-34.68628007,0.4,55.43823366,1.3,1.3,0,0,,,180,3.35,-41.16821381,-41.16821381,22.35107472,63.51928853,81.68335144,271.6064514,-161.1328161,-1.685606061,0.45,0.6,-161.1328161,-59.33227672,,,
M03_SM_A1_C12,199.7680709,14.29166667,0.322387703,0.0000639,0,0.322387703,1.004015454,90,,,33.15,,,,,,,30.51147529,-33.94165115,1.05,64.45312644,5,7.1,0,0,,,,0,,,,,,,,,,,,,,,
M03_SM_A1_C13,329.8950269,27.35833333,10.24572777,-0.00105228,0,10.24572777,1.111425298,110,,,8.45,,,,,,,13.75122101,-34.5825203,0.35,48.33374131,1.2,1.2,0,0,,,170,3.4,-39.63012784,-39.63012784,12.24365262,51.87378046,75.83007982,312.3779367,-193.3593793,-1.615530303,0.35,0.45,-193.3593793,-63.5864272,,,
M03_SM_A1_C16,266.1743224,24.78333333,7.986938655,-0.001006651,0,7.986938655,1.088064002,70,,,27.25,,,,,,,33.33129957,-37.34130943,0.6,70.672609,1.75,1.75,0,0,1,,500,3.4,-43.81713965,-43.81713965,31.0974128,74.91455246,94.69604704,304.8095771,-129.8828154,-2.346804511,0.55,0.65,-129.8828154,-63.59863423,,,
M04_JS_A1_C01,634.1552876,28.34166667,21.20141649,-0.002676112,0,21.20141649,1.277583416,50,,,8.5,,,,,,,24.62463434,-39.70947354,0.4,64.33410788,1.55,1.55,0,0,,,60,3.85,-39.54467862,-39.54467862,13.82141144,53.36609006,73.86474774,188.6596722,-114.3798854,-1.64941302,0.55,0.7,-114.3798854,-60.0433363,,,
M04_JS_A1_C02,413.1317231,24.35833333,6.442505027,-0.000210159,0,6.442505027,1.079253908,20,,,53.2,,,,,,,30.04455634,-41.46423433,0.75,71.50879066,5.05,14.85,0,0,4,0.220770253,70,4.95,-42.01049899,-42.01049899,18.43566936,60.44616834,79.27246271,158.0200231,-61.40136856,-2.573558648,0.95,1.2,-61.40136856,-60.83679335,,,
M04_JS_A1_C14,292.0532292,29.76666667,5.630127079,-0.000701293,0,5.630127079,1.073284786,10,,,808.6,,,,,,,44.94323831,-41.42456147,0.9,86.36779978,5.05,77.4,0,0,6,0.047928081,310,3.25,-48.14453233,-48.14453233,47.73864853,95.88318085,109.3566919,412.2314545,-109.985354,-3.748057714,0.8,0.85,-109.985354,-61.61804337,,,
M04_JS_A1_C15,475.6927597,26.725,5.894592417,-0.005047741,0,5.894592417,1.067767484,10,,,439.4,,,,,,,24.45983941,-43.4875498,1.3,67.94738921,5.05,51.1,0,0,8,0.37926915,300,3.6,-49.20654407,-49.20654407,24.34997613,73.5565202,91.583254,194.6411176,-77.45361501,-2.513002364,0.9,1.1,-77.45361501,-67.23327787,,,
M04_MW_A1_C02,98.75488502,7.116666667,3.179077219,-0.000405905,0,3.179077219,1.035760727,270,,,29.3,,,,,,,42.40112399,-41.34521577,0.8,83.74633976,5.05,18.5,1,0.25,,,,0,,,,,,,,,,,,,,,
M04_MW_A1_C03,163.6962927,10.59166667,6.593139796,-0.00108133,0,6.593139796,1.093478761,150,43.225,9.57789135,632.5,66.0375,0.46770411,0.089150689,1.782608696,0.993071365,-0.002275509,31.45752023,-30.2062995,0.3,61.66381974,0.8,0.8,0,0,,,360,3.3,-38.21411218,-38.21411218,30.7067878,68.92089998,92.73681848,434.5703222,-320.6787181,-1.355157975,0.3,0.35,-320.6787181,-62.03003068,,,
M04_MW_A1_C06,197.2045943,12.16666667,8.762451368,-0.001597353,0,8.762451368,1.119962966,150,,,8.35,,,,,,,30.981446,-42.9077158,0.4,73.88916181,1.1,1.1,0,0,,,205,3.3,-44.87304788,-44.87304788,31.35986398,76.23291186,87.90893751,390.1367275,-237.3046928,-1.644032922,0.35,0.4,-237.3046928,-56.54907353,,,
M04_MW_A1_C08,313.9038156,24.93333333,7.264038248,-0.001213126,0,7.264038248,1.08285079,50,,,73.05,,,,,,,40.89965912,-34.94262773,0.95,75.84228685,3.2,18.4,0,0,15,0.46535773,210,3.8,-49.71923939,-49.71923939,42.68188572,92.40112511,107.6599145,301.269538,-96.67968966,-3.116161616,0.85,1,-96.67968966,-64.9780288,,,
M04_SM_A1_C07,242.431646,13.89166667,4.45336924,-0.000383491,0,4.45336924,1.044519127,90,,,24.4,,,,,,,25.78125058,-45.91064556,0.8,71.69189613,4.75,8.6,0,0,,,350,3.6,-51.74560663,-51.74560663,22.2656255,74.01123212,91.36352743,191.8945355,-99.48730691,-1.928834356,0.8,0.95,-99.48730691,-69.09790194,,,
M04_SM_A1_C09,390.5639736,23.29166667,20.65441941,-0.003277439,1,20.65441941,1.245414817,70,,,12.85,,,,,,,10.65673852,-38.39111414,0.9,49.04785266,2.95,2.95,0,0,1,,145,4,-40.66772552,-40.66772552,14.74609408,55.4138196,73.76709149,129.5166045,-80.20019711,-1.614916286,0.85,1.05,-80.20019711,-59.02099741,,,
M05_JS_A1_C03,348.2818681,16.53333333,5.299072384,-0.000790568,0,5.299072384,1.051997988,50,,0.608814175,67,110.05,0,,,0.94042728,,35.18676836,-39.09301845,0.9,74.27978682,4.95,15.5,0,0,23,0.206924989,75,6.25,-40.58837981,-40.58837981,23.07128958,63.65966939,82.61108583,169.6777382,-62.86621234,-2.699029126,1.15,1.35,-62.86621234,-59.53979625,,,
M05_JS_A1_C04,540.1611449,22.93333333,7.765503103,-0.002516772,0,7.765503103,1.081937441,50,,,10.45,,,,,,,8.056640805,-46.081544,0.55,54.1381848,2.2,2.2,0,0,3,0.066888479,130,3.25,-46.53930768,-46.53930768,8.361816593,54.90112427,69.36645663,262.4511777,-112.9150416,-2.324324324,0.5,0.65,-112.9150416,-61.00464004,,,
M05_JS_A1_C05,553.8940553,21.4,5.131836052,-0.001079917,0,5.131836052,1.05481381,10,119.875,0.413107896,47.4,114.74,0.150985659,0.025493898,1.227180527,0.929284858,-0.012929963,23.01025442,-53.37524533,1.1,76.38549975,4.9,8.6,0,0,29,0.150704066,,0,,,,,,,,,,,,,,,
M05_JS_A1_C06,366.2109457,19.50833333,12.57385282,-0.002267416,0,12.57385282,1.144114334,70,17.4,0.804315841,16.4,20.39,0.13170069,0.008568885,1.510086455,0.810202206,-0.004265347,23.25439505,-43.15185643,0.45,66.40625148,1.35,1.35,0,0,111,0.085386915,225,3.65,-45.98999126,-45.98999126,25.23803767,71.22802894,89.01977738,305.7861396,-182.4951213,-1.675585284,0.5,0.55,-182.4951213,-63.78173971,,,
M05_JS_A1_C08,329.2083814,18.9,4.857177843,-0.000862536,0,4.857177843,1.056623643,50,,,98.25,,,,,,,7.110595862,-38.11645593,1.3,45.22705179,3.85,3.85,0,0,2,0,95,13.25,-64.20898581,-64.20898581,2.868652408,67.07763822,68.29834137,152.587894,-76.90429859,-1.984126984,1.15,1.15,-76.90429859,-65.42968896,,,
M05_JS_A1_C09,445.5566506,16.74166667,9.970092996,-0.001151484,0,9.970092996,1.106337272,70,,,9.1,,,,,,,32.56225659,-43.02978612,0.85,75.59204271,3.55,3.55,0,0,2,0,150,3.65,-49.1027843,-49.1027843,31.43310617,80.53589047,100.1586936,274.0478577,-103.1494164,-2.656804734,0.8,1,-103.1494164,-68.72558747,,,
